source,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,island
44,41.2917462982219,0.0030483000378,-29.695619325214,0.0034358199296,0.4838425372148,0.0407308707537,0
45,37.2819327611926,0.0023884322123,-28.1421178512531,0.0027666387266,0.4425730519666,0.0246148943869,0
46,39.333116686749,0.005134843563,-28.8228112194048,0.0044985301751,0.2400613004598,0.0301947281462,0
47,37.074583986374,0.0004720327743,-29.0491627244383,0.0005977438313,1.8966438989967,0.0281444430869,0
48,37.3775477314997,0.0026966345623,-26.4358651369945,0.003270877389,0.2929874872437,0.0258138823372,0
49,40.0223187546267,0.011569789354,-27.7540111661921,0.0101753800104,0.1654582778593,0.0348193457212,0
50,39.0890320430411,0.0033540376372,-29.905991628056,0.004588312254,0.2856802725007,0.0349542752569,0
51,37.1359375350412,0.0018073181113,-29.6522636644608,0.0022030088741,0.5154203167801,0.0277002911061,0
52,41.9846096007851,0.0007654877067,-29.5057473297205,0.0008468593963,2.1892044139145,0.0417555065008,0
53,37.7026887784967,0.0056975637458,-27.0385147034779,0.0081373754907,0.1299474019033,0.0289350586229,0
54,40.2371933950033,0.0018212033896,-27.8307521440738,0.0022256463067,0.6549145687042,0.0349137749861,0
55,37.6640026324771,0.0037257223839,-26.1355633433417,0.0037171910706,0.3372600208176,0.02816205264,0
56,38.7034280002561,0.0018580738136,-29.6483343513647,0.0019869616136,0.7096294819552,0.0311940431677,0
57,42.1096788099093,0.0046997475723,-27.8767548889947,0.007967107716,0.2985566188213,0.0460116731998,0
58,40.5770752727073,0.0025520843757,-27.448091458741,0.005053494511,0.2733345714223,0.0370021622486,0
59,38.2847760598729,0.004304584848,-26.8812309924866,0.0061812978625,0.217437861331,0.0289384132439,0
60,37.0682645018211,0.002520103442,-26.992946913765,0.0033092468387,0.3348244713788,0.0255949329933,0
61,41.0365524168954,0.0125186669081,-28.5980028389201,0.0117082871022,0.2447820817587,0.0457200957251,0
62,39.5461103655797,0.0030031616491,-27.9188389504004,0.0035238141864,0.3735173367228,0.0313089198253,0
63,40.3915194772685,0.0023697875135,-26.4361857674377,0.0044894158312,0.4631970728531,0.0329176125111,0
64,42.854930309517,0.0019069636311,-26.1692775053102,0.0022457332726,0.9384905695413,0.0506050152427,0
65,37.1709763201355,0.0020298737788,-26.4581331740885,0.0022712710128,0.4295033424628,0.0254111050252,0
66,37.523756750961,0.0037716245387,-29.5744390988021,0.0053979232138,0.2165495486426,0.0283910767518,0
67,37.6607171609663,0.0054871394746,-27.2029929013959,0.0079141090647,0.1157221163218,0.0265734742856,0
68,38.5267981379276,0.0065668664337,-26.9775152116885,0.0076629819342,0.1603699027351,0.0276429219369,0
69,40.5672487698897,0.0008303035788,-27.966447782434,0.0009492243819,1.5593297452747,0.0341275391974,0
70,40.1855346591179,0.002860892396,-28.3332558295687,0.0033577160739,0.4639053241122,0.0330875612959,0
71,37.5028053134308,0.0040672787139,-27.9177707353163,0.0046403812927,0.2375938646105,0.0309394487596,0
72,41.086220421268,0.0038785110526,-27.1929543644234,0.0073552858364,0.1936433052878,0.0370503314381,0
73,40.4292641185747,0.0018179599247,-28.6603736561224,0.0021243735987,0.4786661007907,0.0375352424376,0
74,38.7015946512435,0.0037615942729,-26.4052830505215,0.0045078554829,0.221323916848,0.0293098542212,0
75,37.9344037132142,0.0032031075772,-29.9598964007322,0.0036883646019,0.3132599438852,0.0298302683099,0
76,40.9172935945881,0.0033314374027,-26.0839735817433,0.0044842738188,0.3198988927977,0.0374784299073,0
77,41.3651502435991,0.0046636299607,-26.2502062488796,0.0056467336797,0.3051597506668,0.0344969888296,0
78,39.8497204537892,0.0036606975765,-29.9126049281574,0.0055336702491,0.3070104540367,0.0365433710763,0
79,37.9128697178826,0.0023952859993,-28.1641735836155,0.0026262786472,0.4274998325362,0.0279740969042,0
80,41.9737974738991,0.0012680054185,-26.1845514008233,0.0014769556839,1.181993568989,0.040704783376,0
81,38.5534790648992,0.0018966385608,-28.6404825307503,0.002417524622,0.5876948528587,0.0321732083409,0
82,37.1436963739569,0.0004262268238,-28.2601837001693,0.0006157023624,1.9591160057327,0.0266947982165,0
