source,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,island
47,19.0662269738287,0.0014996335623,-28.4588623432644,0.0024638642311,0.3969386598377,0.0220267419237,0
48,34.172118779692,0.0107861536989,-13.4912201026004,0.0092687559685,0.132600875178,0.0456301847086,0
49,19.4201787139772,0.0026628782728,-16.8570396870141,0.0041987022019,0.3209270366839,0.0260403127524,0
50,8.7272352748459,0.0030125146329,-23.1019659519447,0.004931537029,0.3482181338469,0.0392751528826,0
51,20.9133797088275,0.002869293836,-12.7164869911763,0.0042047037075,0.399467402955,0.0314382724847,0
52,36.0801981370904,0.0027167573852,-16.4193494145607,0.0044087287441,0.3122577801816,0.0304485299665,0
53,37.4507204895579,0.0082428925765,-29.965492642462,0.0070924020197,0.1399996745387,0.0288832547613,0
54,26.235305521421,0.0063717510906,-11.5128909317507,0.0094602987062,0.2138470935745,0.0393476771672,0
55,24.3770027317921,0.0037586454029,-29.8147344595878,0.0056897057783,0.1362572578042,0.020704381407,0
56,22.7137442149009,0.0012486810301,-15.5063891620697,0.0012657495619,0.9178458087834,0.0213706123557,0
57,17.7574171459055,0.0005831207156,-34.5995758196114,0.0010287593687,1.6547266190596,0.0382221258276,0
58,25.0736726354653,0.0029395526942,-18.0166537091529,0.0041060704913,0.28120448718,0.019262604517,0
59,36.8083013225278,0.0015454039958,-32.0107905733347,0.0019544276206,0.5781757383675,0.0329474725512,0
60,8.9881072343792,0.0023612144061,-27.620038191887,0.00352899238,0.5044374884018,0.0385379977041,0
61,15.1145187006047,0.0012388918805,-13.5312404581055,0.0014636954867,1.2340665080228,0.0393046537944,0
62,20.1791366667207,0.0079382071474,-32.6482159240493,0.0081748321096,0.1675699051206,0.0270141130137,0
63,28.76719664791,0.0043314238841,-25.6560308487296,0.005640729688,0.1062757877141,0.0157363201702,0
64,19.5129680204099,0.0073591199444,-6.4411066982451,0.0088352050953,0.5447506004123,0.0669592323796,0
65,20.8646381200727,0.0020658323453,-23.3721187286268,0.0027415714666,0.3465815297125,0.0182994033965,0
66,28.7782912666808,0.0008190064192,-39.4124161694397,0.0014040555756,1.6426252767433,0.0547488770061,0
67,16.2284428410954,0.0041270380186,-20.6146774460941,0.0057044029731,0.2098341688289,0.0232738482367,0
68,26.9465241202169,0.0028833164571,-17.4498771154699,0.0032720691865,0.282201145286,0.021669103546,0
69,23.0048345970324,0.0052956717977,-19.9043296389872,0.0098084861517,0.0948900028116,0.0199694282705,0
70,8.6248142790826,0.0009422983938,-17.9092712106794,0.00144428585,1.4995938531741,0.0392605539277,0
71,23.6357856008052,0.0081069654835,-8.2661937834407,0.0123917553992,0.3337456227638,0.0569793988358,0
72,9.2069993188078,0.0016447796021,-23.4814963242838,0.0022720493526,0.6760743074748,0.0339214219633,0
73,9.9208830761501,0.0034267965503,-32.5726670125314,0.0078591536565,0.3458053185115,0.0450779482499,0
74,29.1934807425267,0.0054601226143,-30.7533136206278,0.0093034453477,0.1307719082888,0.0224675083046,0
75,32.6104838905788,0.0032627948931,-25.7960558866357,0.0035178375038,0.2180634757868,0.0194214053518,0
76,37.5272369028508,0.0045727871672,-21.2433789995722,0.0057039225181,0.2379607214801,0.0251069311749,0
77,25.4849762333689,0.0035128818216,-24.8235810659008,0.004096222874,0.172160313279,0.0192390779708,0
78,13.803383045072,0.0030733149421,-17.7341966686754,0.0030994563412,0.5145016462254,0.03014025283,0
79,24.4023210420096,0.0057093077395,-20.6904042308994,0.0068436923456,0.1570814450225,0.0201411894464,0
80,14.5493509363554,0.0052164064759,-24.5790459111901,0.0067067515902,0.1647064220011,0.0269122923097,0
81,23.243310527503,0.0035421576195,-35.3668813163703,0.0048460021784,0.367586055384,0.0329250939962,0
82,16.7251116520961,0.0030725563542,-33.7537265218593,0.0072462294313,0.2732016315853,0.0379231348221,0
83,36.2965252370945,0.0028428164691,-35.9386526570572,0.0036211712338,0.5432707241099,0.0407339289447,0
84,35.403103635924,0.0033279235085,-18.3604239530038,0.0047474049309,0.2775034415536,0.0243355186165,0
85,23.2854900816859,0.0041702416773,-37.6038953766809,0.0057201006673,0.4253000955976,0.041718671118,0
86,22.8378044916051,0.0047725884095,-38.2445139695687,0.0080946726217,0.2688237061652,0.0511312417749,0
87,21.8474242480931,0.006333911821,-26.1556797047562,0.0072979505804,0.1208819703865,0.0206118932398,0
88,7.8358661890455,0.0095614701706,-26.6587416626551,0.0108212015488,0.2151006683355,0.0431883461448,0
89,27.9965410487868,0.0035098666494,-26.0746105189793,0.0044082398683,0.2304118396623,0.0185849121281,0
90,28.059929806076,0.0055504412593,-16.6391957746403,0.0082913734331,0.1858496518642,0.0249590523841,0
91,37.7837260936508,0.001508348816,-24.4874863426229,0.0019684686069,0.5410768532785,0.0247229691513,0
92,8.9927690981904,0.0024413782047,-26.4637026383933,0.0052750531852,0.4477695101611,0.0369347120975,0
93,19.5533002368529,0.0027409866076,-12.0515949263526,0.0037107111021,0.5335128267508,0.0358450010045,0
94,21.302376972414,0.0045162651793,-17.9893758151891,0.0055564706287,0.1767392025067,0.0212970463159,0
95,31.1287704454064,0.0008597584647,-21.3277625888311,0.0011937530587,0.6955472845526,0.0187160989861,0
96,34.7610864330419,0.002902253074,-19.2916846086526,0.0050194412529,0.2523879400533,0.022483999006,0
97,7.4764534655594,0.001437325909,-17.6641714400596,0.0019930656655,1.1925095390404,0.0466713385155,0
